opcode,legal,command_index,factory_target,vtable,init,execute,destroy,opcode_hex,execute_hex,vtable_hex,semantic,evidence_level,semantic_evidence,semantic_cn,semantic_execute_consistent,serialized_size,static_min_bytes,size_evidence_type,params
125,True,62,4242135,4588508,4243408,4253472,4272128,0x7D,0x0040E720,0x004603DC,SET_PARTY_RESOURCE_PERCENT,已确认数据行为,调用 0x43B8F0 mode=2：current = max * percent / 100 后夹紧。执行前还对一个固定角色的第二资源做下溢检查并写 VAR999；该附加条件的作者意图仍待语境样本确认。,按最大值百分比重设当前队伍全员两项 current 资源,True,,,unknown,"[{""偏移"": ""+0x04"", ""类型"": ""i32"", ""名称"": ""resource_a_percent""}, {""偏移"": ""+0x08"", ""类型"": ""i32"", ""名称"": ""resource_b_percent""}]"
126,True,63,4242164,4588496,4243408,4253616,4272128,0x7E,0x0040E7B0,0x004603D0,ADD_ITEM,已确认,0x439120；category 取 0..5，共六类库存。item_id 必须 >0。,向指定库存类别增加物品,True,,,unknown,"[{""偏移"": ""+0x04"", ""类型"": ""i32/u32"", ""名称"": ""item_id""}, {""偏移"": ""+0x08"", ""类型"": ""i32"", ""名称"": ""quantity""}, {""偏移"": ""+0x0C"", ""类型"": ""u32"", ""名称"": ""category""}]"
127,True,64,4242193,4588484,4243408,4253696,4272128,0x7F,0x0040E800,0x004603C4,CONSUME_ITEM_IF_AVAILABLE,已确认,"0x4391C0 统计六类总数；足够则重复调用 0x439520 删除单个，VAR999=1，否则 VAR999=0。删除搜索顺序为类别 5,4,3,2,0,1。",库存数量足够时跨六类消耗指定数量并写 VAR999,True,,,unknown,"[{""偏移"": ""+0x04"", ""类型"": ""u32"", ""名称"": ""item_id""}, {""偏移"": ""+0x08"", ""类型"": ""i32"", ""名称"": ""required_count""}]"
128,True,65,4242222,4588472,4243408,4253856,4272128,0x80,0x0040E8A0,0x004603B8,ADD_MONEY,已确认,"0x439820；商店卖出路径调用同 helper，加回折半售价；调试路径一次增加 1,000,000。",增加金钱,True,,,unknown,"[{""偏移"": ""+0x04"", ""类型"": ""i32"", ""名称"": ""amount""}]"
129,True,66,4242251,4588460,4243408,4253936,4272128,0x81,0x0040E8F0,0x004603AC,TRY_SPEND_MONEY,已确认,0x439870 查询余额；足够则 0x439840 扣除并 VAR999=1，否则不扣且 VAR999=0。,金钱足够则扣除并写 VAR999,True,,,unknown,"[{""偏移"": ""+0x04"", ""类型"": ""i32"", ""名称"": ""amount""}]"
130,True,67,4242280,4588448,4243408,4254048,4272128,0x82,0x0040E960,0x004603A0,NOP,已确认行为,与 0x51/0x52 的 yield marker 必须区分。,真正无副作用顺序推进，不主动 yield,True,4,,exact,[]
131,True,68,4242309,4588436,4243408,4254096,4272128,0x83,0x0040E990,0x00460394,CHECK_ROLE_SLOT_FIELD_EQ,强结构证据,selector 0/1/2 分别读取 role +0x90/+0x94/+0x98。与装备操作高度相关，但三槽的最终业务名称尚未冻结。,检查角色三个槽字段之一是否等于目标值并写 VAR999,True,,,unknown,"[{""偏移"": ""+0x04"", ""类型"": ""u32"", ""名称"": ""role_id""}, {""偏移"": ""+0x08"", ""类型"": ""u32"", ""名称"": ""slot_selector_0_2""}, {""偏移"": ""+0x0C"", ""类型"": ""i32/u32"", ""名称"": ""expected_value""}]"
132,False,88,4242864,,,,,0x84,,,,,,,True,,,unknown,[]
133,True,69,4242338,4588424,4243408,4254304,4272128,0x85,0x0040EA60,0x00460388,SELECT_PARTY_PRESET_AND_ROLE_BANK,强结构证据,"selector0 清队伍后加入 1..5；selector1 加入 7,8；随后 0x43AC90 在 +0x98/+0x9C 两套角色数据银行间切换。剧情业务名称待语境确认。",选择两套固定队伍预设之一并切换对应角色数据银行,True,,,unknown,"[{""偏移"": ""+0x04"", ""类型"": ""u32"", ""名称"": ""selector_0_1""}]"
134,True,70,4242367,4588412,4243408,4254496,4272128,0x86,0x0040EB20,0x0046037C,CHECK_ROLE_STAT_GT,强结构证据,selector 映射 role +0x20/+0x58/+0x54/+0x5C/+0x60/+0x64；字段业务名待角色结构章节恢复。,检查角色六个候选数值字段之一是否大于阈值并写 VAR999,True,,,unknown,"[{""偏移"": ""+0x04"", ""类型"": ""u32"", ""名称"": ""role_id""}, {""偏移"": ""+0x08"", ""类型"": ""u32"", ""名称"": ""stat_selector_1_6""}, {""偏移"": ""+0x0C"", ""类型"": ""i32"", ""名称"": ""threshold""}]"
135,True,71,4242396,4588400,4243408,4254832,4272128,0x87,0x0040EC70,0x00460370,SET_ROLE_SLOT_RETURN_OLD_ITEM_CANDIDATE,强结构证据,常规路径交换 role+0x90；可将旧值加入库存类别1。特殊值 0xD0 清 role+0x98。确切装备槽语义尚未冻结。,角色槽位替换/清除并可把旧值返还库存（装备相关强候选）,True,,,unknown,"[{""偏移"": ""+0x04"", ""类型"": ""u32"", ""名称"": ""role_id""}, {""偏移"": ""+0x08"", ""类型"": ""u32"", ""名称"": ""new_value_or_special""}, {""偏移"": ""+0x0C"", ""类型"": ""bool-like"", ""名称"": ""return_old_to_inventory""}]"
136,True,72,4242425,4588388,4243408,4254992,4272128,0x88,0x0040ED10,0x00460364,ADD_ROLE_FIELD_24,已确认数据行为,角色 +0x24 的业务名称待角色数据表恢复。,给角色 +0x24 数值字段加值,True,,,unknown,"[{""偏移"": ""+0x04"", ""类型"": ""u32"", ""名称"": ""role_id""}, {""偏移"": ""+0x08"", ""类型"": ""i32"", ""名称"": ""delta""}]"
137,False,88,4242864,,,,,0x89,,,,,,,True,,,unknown,[]
138,False,88,4242864,,,,,0x8A,,,,,,,True,,,unknown,[]
139,False,88,4242864,,,,,0x8B,,,,,,,True,,,unknown,[]
140,True,73,4242454,4588376,4243408,4255088,4272128,0x8C,0x0040ED70,0x00460358,REBUILD_EXPLORATION_CONTEXT_AND_YIELD,强结构证据,调用 0x44B1F0，随后 PC++、置 yield flag。,重建/恢复探索上下文后主动 yield Event VM,True,4,,exact,[]
141,True,74,4242483,4588364,4243408,4255152,4272128,0x8D,0x0040EDB0,0x0046034C,RUN_START_MENU_DISPATCHER,已确认,创建对象ctor 0x4473F0（全局0x8E241C），直接引用MEN9300..MEN9304、FanIn.SF2、Music000.mp3、字符串“play mp3 fail!(START Menu)”与“NewGame”；后续分派退出、存取档、恢复探索等。,运行标题/START菜单总调度器,True,,4,lower_bound,[]
142,True,75,4242512,4588352,4243408,4255680,4272128,0x8E,0x0040EFC0,0x00460340,AUDIO_CONTROL,已确认通道类型,selector=0 进入 MP3 路径（0x4032C0，格式字符串 %s.MP3；audio_id=0 停止当前 MP3）；selector=1 进入 WAV 路径（0x403380，%s.WAV；ID0 为停止路由，非零 ID 具有按缓存句柄停止/播放的切换行为）。option 的精确 loop/fade/播放参数语义仍待恢复。,MP3/WAV 音频控制命令族,True,,,unknown,"[{""偏移"": ""+0x04"", ""类型"": ""u32"", ""名称"": ""channel_selector""}, {""偏移"": ""+0x08"", ""类型"": ""u32"", ""名称"": ""audio_id""}, {""偏移"": ""+0x0C"", ""类型"": ""u32"", ""名称"": ""option""}]"
143,True,76,4242541,4588340,4243408,4255856,4272128,0x8F,0x0040F070,0x00460334,CONFIGURE_PROXIMITY_TRIGGER,强证据,写 source SCI +0xEA，清 +0xEB/+0x73，并设置对象模式/几何状态；由补充基线与当前 EXE 双重验证。,配置实体碰撞/接近事件触发,True,,,unknown,[]
144,True,77,4242570,4588328,4243408,4256112,4272128,0x90,0x0040F170,0x00460328,SHIFT_WORLD_POS_X_PLUS_640,强结构证据,,当前探索位置 X 增加 640 并同步相机/角色,True,4,,exact,[]
145,True,78,4242599,4588316,4243408,4256208,4272128,0x91,0x0040F1D0,0x0046031C,SHIFT_WORLD_POS_Y_PLUS_480,强结构证据,,当前探索位置 Y 增加 480 并同步相机/角色,True,4,,exact,[]
146,True,79,4242628,4588304,4243408,4256304,4272128,0x92,0x0040F230,0x00460310,SHIFT_WORLD_POS_X_MINUS_640,强结构证据,,当前探索位置 X 减少 640 并同步相机/角色,True,4,,exact,[]
147,True,80,4242657,4588292,4243408,4256400,4272128,0x93,0x0040F290,0x00460304,SHIFT_WORLD_POS_Y_MINUS_480,强结构证据,,当前探索位置 Y 减少 480 并同步相机/角色,True,4,,exact,[]
148,True,81,4242686,4588280,4243408,4256496,4272128,0x94,0x0040F2F0,0x004602F8,BRANCH_ON_WORLD_ITEM_RESULT_EQ,A/直接,0x89F7D0当前Oracle唯一非零writer为0x40D03A，写入DataCenter+0xEC当前world-item ID；本opcode比较该通道。,比较world-item异步结果物品ID；相等则跳转并清结果，不等时按策略继续或中止,True,,16,lower_bound,"[{""偏移"": ""+0x04"", ""类型"": ""u32"", ""名称"": ""expected_item_id""}, {""偏移"": ""+0x08"", ""类型"": ""u32"", ""名称"": ""target_instruction""}, {""偏移"": ""+0x0C"", ""类型"": ""u32/bool-like"", ""名称"": ""failure_policy""}]"
149,True,82,4242715,4588268,4243408,4256656,4272128,0x95,0x0040F390,0x004602EC,BRANCH_IF_WORLD_ITEM_RESULT_NONZERO,A/直接,读取0x89F7D0；零则顺序前进，非零则PC=record+0x04。,world-item异步结果物品ID非零时跳转,True,,8,lower_bound,"[{""偏移"": ""+0x04"", ""类型"": ""u32"", ""名称"": ""target_instruction_if_nonzero""}]"
150,True,83,4242737,4588256,4243408,4256736,4272128,0x96,0x0040F3E0,0x004602E0,STORE_DEFERRED_EVENT_RESUME_KEYS_AND_EXIT,A/直接,event id→0x89F7F8，cmd+4→0x89F7FC(keyA)，cmd+8→0x89F800(keyB)，随后0x40B340清active Event并yield；code12用keyA==12，code11用keyB==当前物品ID恢复saved Event。,保存当前 Event 与两个恢复匹配键后退出当前事件,True,,12,lower_bound,"[{""偏移"": ""+0x04"", ""类型"": ""u32"", ""名称"": ""resume_key_a""}, {""偏移"": ""+0x08"", ""类型"": ""u32"", ""名称"": ""resume_key_b""}]"
151,True,84,4242759,4588244,4243408,4256816,4272128,0x97,0x0040F430,0x004602D4,REQUIRE_MOVEMENT_MODE_1_OR_ABORT,强结构证据,,要求当前移动状态/模式为1，否则进入原版错误/中止路径,True,4,,exact,[]
152,True,85,4242781,4588232,4243408,4256928,4272128,0x98,0x0040F4A0,0x004602C8,PLAY_MOVIE,已确认,,播放预渲染影片,True,12,,exact,"[{""偏移"": ""+0x04"", ""类型"": ""u32"", ""名称"": ""movie_id""}, {""偏移"": ""+0x08"", ""类型"": ""u32/bool-like"", ""名称"": ""option""}]"
153,True,86,4242803,4588220,4243408,4257312,4272128,0x99,0x0040F620,0x004602BC,RANDOM_TO_VAR999,已确认,,生成闭区间随机整数并写入变量 999,True,12,,exact,"[{""偏移"": ""+0x04"", ""类型"": ""i32"", ""名称"": ""upper""}, {""偏移"": ""+0x08"", ""类型"": ""i32"", ""名称"": ""lower""}]"
154,True,87,4242825,4588208,4243408,4257408,4272128,0x9A,0x0040F680,0x004602B0,BRANCH_IF_MOVEMENT_NOT_SUCCESS,强证据,0x408D30 返回 1 时顺序推进，否则 PC=target；最终业务命名仍可在更多事件样本后微调。,最近移动状态不为成功时跳转,True,8,,exact,"[{""偏移"": ""+0x04"", ""类型"": ""u32"", ""名称"": ""target_instruction""}]"
