物理记录索引,物品ID,物品ID十六进制,名称,Ail2+0x38_威力攻侧修正,Ail2+0x3C_防禦护侧修正,说明
253,253,0xFD,九花玉露,0,0,以九花九藥煉製而成的療傷聖藥，由於煉製不易，有錢也不易買到。
254,254,0xFE,十聖金丹,0,0,以十種至珍至罕藥材煉製的藥中之王，一枚便能療傷補元，盡復舊觀。
255,255,0xFF,百草沁香,0,0,以大量各式藥材蒸釀純煉取其精華而成，使用時將之遍灑空中，可令周遭伙伴皆療癒之效。
256,256,0x100,返命神水,0,0,使用與百草沁香類似的方式煉製的療癒神水，但其功效更佳。
257,257,0x101,癒神幻霧,0,0,以多種療癒藥材反覆蒸煉而成的華薰封於瓶內，使用時揭蓋散霧，令己方聞之而傷勢得癒。
258,258,0x102,化裊凝晶,0,0,修道之士以秘儀凝聚自己的氣蘊與真魄而成的神物，能一舉全復己方所有伙伴的體力。
259,259,0x103,,0,0,
260,260,0x104,,0,0,
261,261,0x105,返氣丸,0,0,能稍微回復氣力的壯元丹藥，雖然效果有限，但卻已經相當罕見。
262,262,0x106,聚元散,0,0,較返氣丸更有效的壯元丹藥，由於煉製極難，平時幾乎不可能獲得。
263,263,0x107,大還丹,0,0,世上難以求得的妙藥，只要服食一粒便可完全返元復氣。
264,264,0x108,神臨金丹,0,0,療傷補氣的最高聖品，服用後有如請神上身，氣力無窮。
265,265,0x109,,0,0,
266,266,0x10A,,0,0,
267,267,0x10B,,0,0,
268,268,0x10C,,0,0,
269,269,0x10D,,0,0,
270,270,0x10E,,0,0,
271,271,0x10F,還神散,0,0,對於昏倒的同伴使用，能夠使他馬上清醒。
272,272,0x110,紫凝甘露,0,0,從天山靈泉所取的泉水，除了讓昏迷者清醒，也能補充一些體力。
273,273,0x111,鑄命封石,0,0,以神力將生命的基本力量封入這顆石頭中，緊急時可使瀕臨死亡的人重新獲得生命。
274,274,0x112,,0,0,
275,275,0x113,,0,0,
276,276,0x114,,0,0,
277,277,0x115,,0,0,
278,278,0x116,,0,0,
279,279,0x117,,0,0,
280,280,0x118,,0,0,
281,281,0x119,化毒散,0,0,以多種解毒藥材煉製而成的解毒藥，對於尋常毒傷頗具療效。
282,282,0x11A,通脈丸,0,0,能夠通筋活血、調氣順脈的丹藥，常用於治療軟癱麻病。
283,283,0x11B,冰蟾砂,0,0,冰蟾毒砂雖原是至毒，但加以處理後亦能成藥解毒傷癱麻，極是靈驗。
284,284,0x11C,綺羅天香,0,0,具有強烈的氣味，能聚四周精魂靈氣，破除封咒的禁制之力。
285,285,0x11D,血仙邪釀,0,0,以人血調製而成的深紅色藥酒，是唯一能解救逆闕之害的藥物。
286,286,0x11E,蝕血神丹,0,0,以逆命邪方煉製的異藥，服用後可祛解所有毒麻血倀等不良狀態，但亦會藥力反噬而無法戰鬥。
287,287,0x11F,三魄烈丹,0,0,藥性極端的厲藥，服食後同時產生神力、奮馳、披甲、迅目等效，但亦會慢慢損失體力。
288,288,0x120,迦葉神藥,0,0,傳說中以神樹之葉煉製的神藥，能產生傷勢持續復癒的命蘊之效。
289,289,0x121,鬼軀化膏,0,0,據說是以妖魔肢體煉製的邪藥，凡人塗用之雖可使傷勢全復，但亦會產生逆闕的後果。
290,290,0x122,厲魄鬼釀,0,0,據說是鬼族嗜喝的烈酒，其效可讓凡人飲後氣力大進，但亦會暫時失心狂暴。
291,291,0x123,返幽化藥,0,0,本是道家修練化靈飛昇時的秘藥，但平時服食之則可將肉體化實為幽，並具有短暫的命蘊之效。
292,292,0x124,,0,0,
293,293,0x125,,0,0,
294,294,0x126,,0,0,
295,295,0x127,,0,0,
296,296,0x128,,0,0,
297,297,0x129,,0,0,
298,298,0x12A,,0,0,
299,299,0x12B,,0,0,
300,300,0x12C,,0,0,
301,301,0x12D,八絡血參,0,0,長白山中最珍罕的參種，服食後能壯元強身，使體力驟增。
302,302,0x12E,冰荷仙實,0,0,極北冰海中生長的冰蓮之實，食之能增人內蘊靈華，術力大進。
303,303,0x12F,熊王金膽,0,0,北地巨熊亦稱熊王，其膽囊與百藥浸製後服食，可使人膂力大增。
304,304,0x130,靈泉玉露,0,0,天界珍釀之一，以多種仙果釀成，能令人飲後得憑仙力、靈智大進。
305,305,0x131,迅神五書,0,0,載有奔行挪移法門的武籍，令人讀後頓悟奔行之理，從而提升己身迅捷。
306,306,0x132,鬼神天釀,0,0,據說是天界鬼神飲用的美酒，不獨味香醇厚，亦具強筋健體之效。
307,307,0x133,玄機道卷,0,0,寫有玄門天機之理的捲軸，令人讀後能乘應機運之變而趨吉避禍。
308,308,0x134,金萼紅花,0,0,產於北方寒山的一種藥物，具有通暢血路、壯元補虛之效，常用於多種藥方之中。
309,309,0x135,紫霜雲芝,0,0,極為珍罕的藥物，亦具補虛壯元之效，由於其強烈薰香之故，亦為某些神異生物所嗜食。
310,310,0x136,七葉蛇堇,0,0,因為枝幹彎曲如蛇而得名，其奇異成分令人食之而神智昏亂，只用於少數藥方之中。
311,311,0x137,靈龜殼甲,0,0,東海獨產的紫瑁靈龜的甲殼，磨成粉末遍灑於身能生披甲之效，此外亦用於煉製某些藥物。
312,312,0x138,斑蜥煉脂,0,0,荒漠特產的斑蜥油脂，是能生肌止血的外敷藥，塗上之後傷勢會不斷痊癒，如同命蘊之效。
313,313,0x139,九子菩提,0,0,雖是著名的毒物之一，但與其他藥物共煉時亦具療效，倘若單獨服用則為尋死之舉。
314,314,0x13A,蔓陀花苞,0,0,蔓陀羅花不獨具迷神之效，服食其花苞更能令人通體麻痺，但仍用在許多特殊的藥方之中。
315,315,0x13B,,0,0,
316,316,0x13C,,0,0,
317,317,0x13D,,0,0,
318,318,0x13E,,0,0,
319,319,0x13F,,0,0,
320,320,0x140,,0,0,
321,321,0x141,鬼煌幽實,0,0,取自異界幽獸的殘骸之一，據說是原來的心臟部份。
322,322,0x142,厲魂之晶,0,0,取自異界幽獸的殘骸之一，據說是原來的腦部部份。
323,323,0x143,獸魔骨片,0,0,取自異界幽獸的殘骸之一，據說是原來的骨骼部份。
324,324,0x144,濁凝血露,0,0,取自異界幽獸的殘骸之一，據說是其凝血所成之物。
325,325,0x145,死穢魔腑,0,0,取自異界幽獸的殘骸之一，據說是原來的臟腑部份。
326,326,0x146,淵獸畸胎,0,0,取自異界幽獸的殘骸之一，據說是未成型的肉胎部份。
327,327,0x147,玄魄幽壤,0,0,由幽獸殘骸煉成之物，據說是幽界萬物的基質本源，型如黑色黏土，具有各種怪異的特性。
328,328,0x148,,0,0,
329,329,0x149,,0,0,
330,330,0x14A,,0,0,
331,331,0x14B,,0,0,
332,332,0x14C,,0,0,
333,333,0x14D,,0,0,
334,334,0x14E,,0,0,
335,335,0x14F,,0,0,
336,336,0x150,,0,0,
337,337,0x151,,0,0,
338,338,0x152,,0,0,
339,339,0x153,,0,0,
340,340,0x154,,0,0,
341,341,0x155,,0,0,
342,342,0x156,,0,0,
343,343,0x157,,0,0,
344,344,0x158,,0,0,
345,345,0x159,,0,0,
346,346,0x15A,,0,0,
347,347,0x15B,,0,0,
348,348,0x15C,,0,0,
349,349,0x15D,,0,0,
350,350,0x15E,,0,0,
351,351,0x15F,雷火彈,0,0,以火藥包覆鐵砂焦油而成，擲出後在敵人身上迸炸，可造成衝裂灼燃之傷。
352,352,0x160,紫金鏢,0,0,以紫金混以精鐵打造而成的飛鏢，用以飛擲攻敵，並對邪物有額外效力。
353,353,0x161,玄鴆骨末,0,0,毒鳥玄鴆之骨磨製成的毒粉，散出之後能使一群敵人身中劇毒，效同「戾血萬毒」。
354,354,0x162,披甲符,0,0,密法封符之一，能令己方全員一定時間內引受地象之力而增護禦之力，效同「地禦之陣」。
355,355,0x163,破金符,0,0,密法封符之一，能令己方全員兵刃附上金象破力，短時間內威力大進，效同「血刃之咒」。
356,356,0x164,烈法符,0,0,密法封符之一，能集四方靈氣精魂於己方全員，使其術法威力大增，效同「靈智真法」。
357,357,0x165,風行符,0,0,密法封符之一，能集引四周風靈之力增迅行動之速，效同「攬風神行」。
358,358,0x166,轟雷符,0,0,封入天法雷咒之力的令符，使用後可降下神雷擊打敵人，效似「九天神雷」。
359,359,0x167,召炎符,0,0,封入地訣火咒之力的令符，使用後可引召天火焚燒敵人。效似「天火之術」。
360,360,0x168,封凜冰露,0,0,以凜儀密法凝聚凍氣而成的寒露，使用後可造出凍慄冰嵐攻敵，效似「冰獄寒嵐」。
361,361,0x169,天罡令符,0,0,由上位術士封法的強力天符，使用後可降下千仞天光擊打敵人，效似「神威天光」。
362,362,0x16A,封魔神水,0,0,以七種香木調製的淨水，有封隔咒力之能，令當之者會無法施咒，效似「封魔神道」。
363,363,0x16B,縛靈咒索,0,0,以密法調製的神奇咒索，擲於敵人身上可令其周身僵直，效似「奪魄鬼咒」
364,364,0x16C,時幻沙,0,0,崑崙仙界幻沙海的神沙，將之遍散全身，可化幻使刀劍咒法皆不能及，效似「無方變幻」。
365,365,0x16D,,0,0,
366,366,0x16E,血妖皿,0,0,雲貴之地苗人豢養的蠱毒皿，使用後有令敵手如身中咒殺妖術之能，效似「滅魂大法」。
367,367,0x16F,替身紙人,0,0,封入替身咒法的咒術紙人，使用後可生「替護」之效，擋下一回合內的所有敵方攻擊。
368,368,0x170,地返遁符,0,0,封入移遁玄術的法符，可乘地脈流向飛昇騰挪，瞬間離開幽淵險所，效同「移型化法」。
369,369,0x171,鎮辟玄香,0,0,以七種辟邪藥物煉製的神奇香粉，可使周遭邪氣難以近身，從而降低遇敵的機會。
370,370,0x172,鬼魅玄香,0,0,以七種邪物煉製的妖異香粉，可使周遭邪氣大盛，從而大幅提升遇敵的機會。
371,371,0x173,,0,0,
372,372,0x174,,0,0,
373,373,0x175,,0,0,
374,374,0x176,,0,0,
375,375,0x177,,0,0,
376,376,0x178,,0,0,
377,377,0x179,,0,0,
378,378,0x17A,,0,0,
379,379,0x17B,,0,0,
380,380,0x17C,,0,0,
381,381,0x17D,妖夢魅石,0,0,由邪道術者封煉諸多邪靈惡念於內的邪派法器，能讓敵人陷入瘋狂的狀態。
382,382,0x17E,神炎金燈,0,0,內封辟邪神火的神異金燈，據說是來自某處的佛門至寶。
383,383,0x17F,,0,0,
384,384,0x180,,0,0,
385,385,0x181,,0,0,
386,386,0x182,,0,0,
387,387,0x183,,0,0,
388,388,0x184,,0,0,
389,389,0x185,,0,0,
390,390,0x186,,0,0,
391,391,0x187,,0,0,
392,392,0x188,,0,0,
393,393,0x189,,0,0,
394,394,0x18A,,0,0,
395,395,0x18B,,0,0,
396,396,0x18C,,0,0,
397,397,0x18D,,0,0,
398,398,0x18E,,0,0,
399,399,0x18F,,0,0,
400,400,0x190,,0,0,
401,401,0x191,酥油罐,0,0,從輜重中找到的罐裝酥油，好像可以使生鏽的器物潤滑....
402,402,0x192,黑石球,0,0,沈重無華、表面刻有花紋的漆黑石球，從表面看不出有何功用。
403,403,0x193,黑石球,0,0,沈重無華、表面刻有花紋的漆黑石球，從表面看不出有何功用。
404,404,0x194,黑石球,0,0,沈重無華、表面刻有花紋的漆黑石球，從表面看不出有何功用。
405,405,0x195,紙鳶,0,0,天瑤派千里追蹤之法所用的紙鳶，以法言放出後會自動朝著目標的方向飛去。
406,406,0x196,訊號煙火,0,0,點燃後會往上飛衝，迸發出各色煙花的訊號煙火，和狼煙一樣用於遠程聯繫之用。
407,407,0x197,石製把手,0,0,由堅石雕成的彎曲把柄，一端被特別雕成方形，似是用來插入某些榫頭之用。
408,408,0x198,定魂珠,0,0,以純淨琉璃製成的神妙道家法器，能引聚離散的魂魄憑附其上，常用於驅邪作法之用。
409,409,0x199,鎮龍之玉,0,0,型似巧手雕成的蟠龍玉球，其外刻有縛御龍屬的神咒，能收服妖龍之類於內並使御之。
410,410,0x19A,鎮龍之玉,0,0,型似巧手雕成的蟠龍玉球，其外刻有縛御龍屬的神咒，能收服妖龍之類於內並使御之。
411,411,0x19B,五方遁符,0,0,封入飛遁騰挪法儀的道家神符，能使使用者越過土石地表的障礙，直接移往地脈交織之所。
412,412,0x19C,血厲鬼皿,0,0,冥皇鄲陰特製的恐怖魔道法器，將六十四隻血鬼封於皿中，號稱天下無其一出而不摧之物。
413,413,0x19D,刻盤碎片,0,0,上有無數細小刻痕的金色斷片，狀呈弧形，似乎是某種東西的一部份。
414,414,0x19E,刻盤碎片,0,0,上有無數細小刻痕的金色斷片，狀呈弧形，似乎是某種東西的一部份。
415,415,0x19F,刻盤碎片,0,0,上有無數細小刻痕的金色斷片，狀呈弧形，似乎是某種東西的一部份。
416,416,0x1A0,刻盤碎片,0,0,上有無數細小刻痕的金色斷片，狀呈弧形，似乎是某種東西的一部份。
417,417,0x1A1,刻盤碎片,0,0,上有無數細小刻痕的金色斷片，狀呈弧形，似乎是某種東西的一部份。
418,418,0x1A2,刻盤碎片,0,0,上有無數細小刻痕的金色斷片，狀呈弧形，似乎是某種東西的一部份。
419,419,0x1A3,刻盤碎片,0,0,上有無數細小刻痕的金色斷片，狀呈弧形，似乎是某種東西的一部份。
420,420,0x1A4,星晷刻盤,0,0,由七塊刻盤碎片拼合而成的圓環狀物，似乎是某個奇異台座上的必須部份。
421,421,0x1A5,諸幻神鏡,0,0,能解破諸多幻象的神異寶鏡，據說若由鏡面內望，便可看到今世所無法想像的奇景。
422,422,0x1A6,楞迦經,0,0,傳自天竺的佛教重要經典之一，由於譯本多所漏誤，使這原文版本顯得格外珍貴。
423,423,0x1A7,羊皮封卷,0,0,一個奇怪的西方樣式羊皮卷軸，打開之後裡面卻是空白一片，似乎只是用來騙人的玩意。
424,424,0x1A8,太乙占盤,0,0,傳自中國古代的三種占盤之一，上刻五行八卦諸宮諸宿紋記，是占師不可或缺之物。
425,425,0x1A9,九魄靈石,0,0,由道家神法封煉的特殊引物，具有在煉丹時用來引化諸物之能。
426,426,0x1AA,血靈神珠,0,0,邪派術士煉製的奇異法器，平時封注以生人鮮血，據說在必要時有續命護心之能。
427,427,0x1AB,八卦逆符,0,0,逆八卦之理而行的外門法器，只有身懷此物方能通過某些奇法亂陣。
428,428,0x1AC,黃金鑰匙,0,0,造型精美的黃金鑰匙，似乎是開啟重要之所的關鍵。
429,429,0x1AD,赤獸魂石,0,0,宿有炎獸封豨精魄的紅色獸魂石，但其真力微弱渙散，似乎處於沈眠狀態。
430,430,0x1AE,赤獸魂石,0,0,宿有炎獸封豨精魄的紅色獸魂石，其真力神輝瑩然，似會在掌中鼓動。
431,431,0x1AF,白獸魂石,0,0,宿有冰獸冱蚑精魄的白色獸魂石，但其真力微弱渙散，似乎處於沈眠狀態。
432,432,0x1B0,白獸魂石,0,0,宿有冰獸冱蚑精魄的白色獸魂石，其真力神輝瑩然，似會在掌中鼓動。
433,433,0x1B1,紫獸魂石,0,0,宿有雷獸昂昴精魄的紫色獸魂石，但其真力微弱渙散，似乎處於沈眠狀態。
434,434,0x1B2,紫獸魂石,0,0,宿有雷獸昂昴精魄的紫色獸魂石，其真力神輝瑩然，似會在掌中鼓動。
435,435,0x1B3,黑獸魂石,0,0,宿有闇獸冥獨精魄的黑色獸魂石，但其真力微弱渙散，似乎處於沈眠狀態。
436,436,0x1B4,黑獸魂石,0,0,宿有闇獸冥獨精魄的黑色獸魂石，其真力神輝瑩然，似會在掌中鼓動。
437,437,0x1B5,朱獸魂石,0,0,宿有光獸靈鼩精魄的朱色獸魂石，但其真力微弱渙散，似乎處於沈眠狀態。
438,438,0x1B6,朱獸魂石,0,0,宿有光獸靈鼩精魄的朱色獸魂石，其真力神輝瑩然，似會在掌中鼓動。
439,439,0x1B7,計都之鑰,0,0,奇型異狀的三幽鑰之一，似是開啟羅鍭城內某些處所的關鍵。
440,440,0x1B8,羅鍭之鑰,0,0,奇型異狀的三幽鑰之一，似是開啟羅鍭城內某些處所的關鍵。
441,441,0x1B9,太虛之鑰,0,0,奇型異狀的三幽鑰之一，似是開啟羅鍭城內某些處所的關鍵。
442,442,0x1BA,星之晶,0,0,降聚星曜光華而成的晶石，是羅鍭城中諸多處所的力量來源。
443,443,0x1BB,金相之晶,0,0,降聚五行金相之力而成的晶石，是羅鍭城中某些處所的力量來源
444,444,0x1BC,火相之晶,0,0,降聚五行火相之力而成的晶石，是羅鍭城中某些處所的力量來源。
445,445,0x1BD,土相之晶,0,0,降聚五行土相之力而成的晶石，是羅鍭城中某些處所的力量來源。
446,446,0x1BE,木相之晶,0,0,降聚五行木相之力而成的晶石，是羅鍭城中某些處所的力量來源。
447,447,0x1BF,水相之晶,0,0,降聚五行水相之力而成的晶石，是羅鍭城中某些處所的力量來源。
448,448,0x1C0,鐵門鑰匙,0,0,看守牢房的磐沙眾身上帶的鑰匙，似是開啟牢門之用。
449,449,0x1C1,青銅鑰匙,0,0,楊雲佐所贈的鑰匙，可用來開啟鎖住樹下密門的鎖。
450,450,0x1C2,珍瓏鏡玉,0,0,其內別有洞天的神妙寶鏡，將之掛於適當的處所，便可成為安全的休息處所。
451,451,0x1C3,彩石彈珠,0,0,小女孩阿鈴在某處撿到的五彩石子，是夏侯儀幫她找回娃娃的贈禮。
452,452,0x1C4,鍛鐵鑰匙,0,0,以生鐵草草打造的鑰匙，似乎是用來開某道門戶之用。
453,453,0x1C5,黑鐵鑰匙,0,0,樸實無華的鐵鑰匙，看來毫不起眼，似乎是用來開某道門戶之用。
454,454,0x1C6,黑玉鑰匙,0,0,以黑玉雕成的奇型鑰匙，樣式頗具異國風格，似乎是用來開某道門戶之用。
455,455,0x1C7,,0,0,
456,456,0x1C8,樓蘭金鑰,0,0,輝映當年樓蘭極盛國威的華麗鑰匙，可用來開啟樓蘭王城內大部分的門戶。
457,457,0x1C9,紫電封璧,0,0,相桓子奇想天外而試做的法寶，能在紫電金氣濃厚之處引發雷電，目前用途仍然不明。
458,458,0x1CA,百草藥典,0,0,詳述諸般藥草藥材性質用途的入門醫書，是每個有志醫道之人不可或缺之物。
459,459,0x1CB,煉金初要,0,0,雅布斯以中文說明鍊金術的基本原理和諸般心得的手抄本，據說是他絕無僅有的一本著述。
460,460,0x1CC,羊皮封卷,0,0,在沾染血氣之後，忽然浮現字跡圖樣的空白卷軸，其內容似乎藏有極重要的祕密....
461,461,0x1CD,,0,0,
462,462,0x1CE,,0,0,
463,463,0x1CF,,0,0,
464,464,0x1D0,,0,0,
465,465,0x1D1,,0,0,
466,466,0x1D2,,0,0,
467,467,0x1D3,,0,0,
468,468,0x1D4,,0,0,
469,469,0x1D5,,0,0,
470,470,0x1D6,,0,0,
471,471,0x1D7,,0,0,
472,472,0x1D8,,0,0,
473,473,0x1D9,,0,0,
474,474,0x1DA,,0,0,
475,475,0x1DB,,0,0,
476,476,0x1DC,,0,0,
477,477,0x1DD,,0,0,
478,478,0x1DE,,0,0,
479,479,0x1DF,,0,0,
480,480,0x1E0,,0,0,
481,481,0x1E1,,0,0,
482,482,0x1E2,,0,0,
483,483,0x1E3,,0,0,
484,484,0x1E4,,0,0,
485,485,0x1E5,,0,0,
486,486,0x1E6,,0,0,
487,487,0x1E7,,0,0,
488,488,0x1E8,,0,0,
489,489,0x1E9,,0,0,
490,490,0x1EA,,0,0,
491,491,0x1EB,,0,0,
492,492,0x1EC,,0,0,
493,493,0x1ED,,0,0,
494,494,0x1EE,,0,0,
495,495,0x1EF,,0,0,
496,496,0x1F0,,0,0,
497,497,0x1F1,,0,0,
498,498,0x1F2,,0,0,
499,499,0x1F3,,0,0,
500,500,0x1F4,,0,0,
501,501,0x1F5,沙漠盜賊,200,150,
502,502,0x1F6,沙漠盜賊,190,150,
503,503,0x1F7,西夏兵,140,80,
504,504,0x1F8,西夏兵,130,80,
505,505,0x1F9,漢軍,700,500,
506,506,0x1FA,漢軍,700,500,
507,507,0x1FB,符咒師,280,220,
508,508,0x1FC,屍魔術士,450,450,
509,510,0x1FE,骨卒,450,400,
510,511,0x1FF,死靨鬼卒,500,450,
511,509,0x1FD,死刀兵,470,400,
512,512,0x200,凶骸兵,500,450,
513,513,0x201,巨蠍,150,100,
514,514,0x202,火紋蠍,430,350,
515,515,0x203,冰魔蠍,400,400,
516,516,0x204,巨蜘蛛,200,120,
517,517,0x205,鬼面花蛛,420,340,
518,518,0x206,鋼牙魔蛛,650,500,
519,519,0x207,沙蟲,200,180,
520,520,0x208,土魎,410,350,
521,521,0x209,礫攫,700,500,
522,522,0x20A,兀鷹,220,170,
523,523,0x20B,鬼隼,440,320,
524,524,0x20C,凶鷲,750,450,
525,525,0x20D,藍衣鐵衛,350,240,
526,526,0x20E,藍衣鐵衛,340,240,
527,527,0x20F,磐沙眾,210,160,
528,528,0x210,磐沙眾,200,160,
529,529,0x211,中原群豪,300,200,
530,530,0x212,中原群豪,250,180,
531,531,0x213,中原群豪,450,400,
532,532,0x214,中原群豪,450,400,
533,533,0x215,魂娑鬼炎,400,400,
534,534,0x216,朱焰魔火,600,450,
535,535,0x217,紫焰妖靈,500,400,
536,536,0x218,幽煌冥火,350,350,
537,537,0x219,狂魔,700,500,
538,538,0x21A,羽魅,140,70,
539,539,0x21B,魔血眼,420,390,
540,540,0x21C,百眼翼魔,500,500,
541,541,0x21D,化蛇,400,400,
542,542,0x21E,血翼鳥虺,600,500,
543,543,0x21F,九環朱蝮,800,600,
544,544,0x220,,0,0,
545,545,0x221,活屍,400,400,
546,546,0x222,化魔血屍,450,400,
547,547,0x223,禁符鐵屍,400,450,
548,548,0x224,煉法玄屍,450,450,
549,549,0x225,荒漠沙魔,370,250,
550,550,0x226,咒石兵,460,420,
551,551,0x227,剛磐鬼,650,650,
552,552,0x228,血煉鬼,700,550,
553,553,0x229,噬魂鬼,750,600,
554,554,0x22A,幽魎,850,700,
555,555,0x22B,夜魑,500,450,
556,556,0x22C,羅鬼,480,400,
557,557,0x22D,荒蟄,650,600,
558,558,0x22E,炎羅鬼,700,600,
559,559,0x22F,青煞鬼,600,500,
560,560,0x230,赤煉鬼,800,600,
561,561,0x231,腐蝺,450,350,
562,562,0x232,屍蟲,660,400,
563,563,0x233,死魎,770,450,
564,564,0x234,百鬼魔蟲,880,500,
565,565,0x235,咒首蜈蚣,700,600,
566,566,0x236,赤殼蜈蚣,800,700,
567,567,0x237,冰蜈蚣,400,400,
568,568,0x238,刀凜鬼,650,450,
569,569,0x239,鋼破鬼,700,500,
570,570,0x23A,妖將,750,550,
571,571,0x23B,妄幻,800,600,
572,572,0x23C,血嬰冥葵,450,400,
573,573,0x23D,鬼吻妖蘭,600,500,
574,574,0x23E,死藤澪花,400,450,
575,575,0x23F,噬魂幽葛,600,550,
576,576,0x240,淵吞,850,800,
577,577,0x241,翯號,950,750,
578,578,0x242,凜壑,850,700,
579,579,0x243,薨懾,850,700,
580,580,0x244,倀厲,850,700,
581,581,0x245,魘首,750,650,
582,582,0x246,軀聚,950,750,
583,583,0x247,龐邪,1000,750,
584,584,0x248,杌晷,950,700,
585,585,0x249,渾奇,850,800,
586,586,0x24A,怨忽,750,650,
587,587,0x24B,封豨,500,300,
588,588,0x24C,昂昴,800,500,
589,589,0x24D,冱蚑,600,350,
590,590,0x24E,冥獨,700,400,
591,591,0x24F,,0,0,
592,592,0x250,,0,0,
593,593,0x251,,0,0,
594,594,0x252,,0,0,
595,595,0x253,,0,0,
596,596,0x254,,0,0,
597,597,0x255,,0,0,
598,598,0x256,藍衣鐵衛,550,300,
599,599,0x257,藍衣鐵衛,550,300,
600,600,0x258,西夏隊長,350,280,
601,601,0x259,赫蘭鐵罕,150,120,
602,602,0x25A,赫蘭鐵罕,400,350,
603,603,0x25B,赫蘭鐵罕,600,600,
604,604,0x25C,阿爾泰巴,250,170,
605,605,0x25D,皇甫申,280,170,
606,606,0x25E,皇甫申,700,600,
607,607,0x25F,,0,0,
608,608,0x260,冥皇鄲陰,700,600,
609,609,0x261,周崇,500,500,
610,611,0x263,朱浩,400,400,
611,610,0x262,黑龍解臾,600,450,
612,612,0x264,邪神饕餮,550,450,
613,613,0x265,朱鬼蛬蚯,650,450,
614,614,0x266,紫妖蛬蚯,650,450,
615,616,0x268,白邪蛬蚯,650,450,
616,615,0x267,青魔蛬蚯,650,450,
617,617,0x269,黑怪蛬蚯,650,450,
618,618,0x26A,肓癱,600,600,
619,619,0x26B,羅喉神,900,500,
620,621,0x26D,陰歙,1100,600,
621,620,0x26C,陽寰,1000,700,
622,622,0x26E,皇甫申,1200,500,
623,623,0x26F,羅喉‧陽,1000,500,
624,624,0x270,羅喉‧陰,1300,500,
625,625,0x271,羅喉‧陽,1000,500,
626,626,0x272,羅喉‧陰,1300,500,
627,627,0x273,相胤,900,600,
628,628,0x274,蝕墮,700,700,
629,629,0x275,朧蠖,800,500,
630,630,0x276,召喪,700,600,
631,631,0x277,骸髑,600,500,
632,632,0x278,闇咒者,330,350,
633,633,0x279,阿瑪菲特,800,500,
634,634,0x27A,甦慄,700,400,
635,635,0x27B,西夏兵,130,80,
636,636,0x27C,黑龍解臾,700,700,
637,637,0x27D,劍魔燁煌,1000,700,
638,638,0x27E,盜賊,320,210,
639,639,0x27F,肓癱,700,500,
640,640,0x280,赫蘭鐵罕,500,500,
641,641,0x281,冥皇鄲陰,800,600,
642,642,0x282,黑龍解臾,900,650,
643,643,0x283,邪神饕餮,650,550,
644,644,0x284,二百塊,1400,1000,
645,645,0x285,二百塊,1200,1400,
646,646,0x286,二百塊,1000,1200,
647,647,0x287,紅衣鐵衛,370,300,
648,648,0x288,紅衣鐵衛,350,300,
649,649,0x289,,0,0,
650,650,0x28A,,0,0,
651,651,0x28B,,0,0,
652,652,0x28C,,0,0,
653,653,0x28D,,0,0,
654,654,0x28E,,0,0,
655,655,0x28F,,0,0,
656,656,0x290,,0,0,
657,657,0x291,,0,0,
658,658,0x292,,0,0,
659,659,0x293,,0,0,
660,660,0x294,,0,0,
661,661,0x295,,0,0,
662,662,0x296,,0,0,
663,663,0x297,,0,0,
664,664,0x298,,0,0,
665,665,0x299,,0,0,
666,666,0x29A,,0,0,
667,667,0x29B,,0,0,
668,668,0x29C,,0,0,
669,669,0x29D,,0,0,
670,670,0x29E,,0,0,
671,671,0x29F,,0,0,
672,672,0x2A0,,0,0,
673,673,0x2A1,,0,0,
674,674,0x2A2,,0,0,
675,675,0x2A3,,0,0,
676,676,0x2A4,,0,0,
677,677,0x2A5,,0,0,
678,678,0x2A6,,0,0,
679,679,0x2A7,,0,0,
680,680,0x2A8,,0,0,
681,681,0x2A9,,0,0,
682,682,0x2AA,,0,0,
683,683,0x2AB,,0,0,
684,684,0x2AC,,0,0,
685,685,0x2AD,,0,0,
686,686,0x2AE,,0,0,
687,687,0x2AF,,0,0,
688,688,0x2B0,,0,0,
689,689,0x2B1,,0,0,
690,690,0x2B2,,0,0,
691,691,0x2B3,,0,0,
692,692,0x2B4,,0,0,
693,693,0x2B5,,0,0,
694,694,0x2B6,,0,0,
695,695,0x2B7,,0,0,
696,696,0x2B8,,0,0,
697,697,0x2B9,,0,0,
698,698,0x2BA,,0,0,
699,699,0x2BB,,0,0,
