quest_id,stage_id,stage_order,when,condition_status,objective,role,show_in_journal,optional,route_mode,target_kind,target_scene,runtime_event,trigger_type,target_object,world_x,world_y,battle_group,item_dependency,reads_var,writes_var,stage_result,evidence,notes
main_story,var1_20,200,var[1] == 20,A,处理营地战后的剧情，取得用于追踪磐沙堡的纸鸢。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp3001,15,,,,,,,1,1,next_var1=21,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_21,210,var[1] == 21,A,返回凉州会合休整，准备追踪磐沙堡。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp3001,4,,,,,,,1,1,next_var1=22,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_22,220,var[1] == 22,A,到世界地图使用纸鸢线索，找到并进入磐沙堡。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp0601-1,12,,,,,,,1,1,next_var1=23,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_23,230,var[1] == 23,A,调查磐沙堡内部，寻找继续潜入的密道和机关。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp0601-1,21,,,,,,,1,1,next_var1=24,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_24,240,var[1] == 24,A,利用讯号烟火继续潜入磐沙堡深处。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp0604,20,,,,,,,1,1,next_var1=26,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_26,260,var[1] == 26,A,进入地牢救人，并取得后续机关所需的道具。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp0607a,11,,,,,,,1,1,next_var1=27,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_27,270,var[1] == 27,A,继续深入磐沙堡，找到被囚禁或失踪的关键人物。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp0605,25,,,,,,,1,1,next_var1=28,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_28,280,var[1] == 28,A,使用锻铁钥匙开启机关，进入磐沙堡决战区域。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp0610a,11,,,,,,,1,1,next_var1=29,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_29,290,var[1] == 29,A,完成磐沙堡决战与救援，之后返回凉州。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp0402,14,,,,,,,1,1,next_var1=30,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_30,300,var[1] == 30,A,在凉州休整后返回河州查看家中情况。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp3001,11,,,,,,,1,1,next_var1=31,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_31,310,var[1] == 31,A,调查河州发生的变故，确认双亲被掳后的去向。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp0101,14,,,,,,,1,1,next_var1=32,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_32,320,var[1] == 32,A,处理高老丈相关事件并取得紫金剑，继续追查双亲。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp0705,11,,,,,,,1,1,next_var1=33,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_33,330,var[1] == 33,A,前往甘州寻找谭铁匠，请他修复紫金剑。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp0704,16,,,,,,,1,1,next_var1=34,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_34,340,var[1] == 34,A,按照谭铁匠提出的办法，寻找能够潜入肃州石塔的途径。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp0401,52,,,,,,,1,1,next_var1=35,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_35,350,var[1] == 35,A,返回凉州找简二，请他安排前往肃州的车队。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp0704,17,,,,,,,1,1,next_var1=36,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_36,360,var[1] == 36,A,借车队潜入肃州铁卫军石塔，继续向塔内深入。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp0906,11,,,,,,,1,1,next_var1=39,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_39,390,var[1] == 39,A,在肃州石塔完成与赫兰铁罕的决战。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp1005a,23,,,,,,,1,1,next_var1=40,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_40,400,var[1] == 40,A,前往楼兰华穹殿附近，了解楼兰王与中原四派的争议。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp1007b,16,,,,,,,1,1,next_var1=41,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_41,410,var[1] == 41,A,处理观星台与旅店发生的事件后，与同伴重新会合。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp0702,22,,,,,,,1,1,next_var1=42,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_42,420,var[1] == 42,A,休养后继续调查夏侯仪身世及楼兰相关线索。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp1407,14,,,,,,,1,1,next_var1=44,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_44,440,var[1] == 44,A,进入方违之阵，破解七步迷阵。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp1407,11,,,,,,,1,1,next_var1=45,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_45,450,var[1] == 45,A,穿过方违之阵，与各派会合并继续追查天动仪。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp1013,12,,,,,,,1,1,next_var1=46,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_46,460,var[1] == 46,A,推进天动仪／天枢仪座的重大剧情，确认下一目的地。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp0701,14,,,,,,,1,1,next_var1=47,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_47,470,var[1] == 47,A,高昌阶段结束后转往沙州，继续追寻西域遗迹线索。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp1301,20,,,,,,,1,1,next_var1=48,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_48,480,var[1] == 48,A,寻找相桓子，询问破除妖龙炼甲的方法。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp1701,12,,,,,,,1,1,next_var1=49,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_49,490,var[1] == 49,A,调查罗布泊，在盐层下找到古城入口。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp3001,22,,,,,,,1,1,next_var1=50,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_50,500,var[1] == 50,A,抵达沙州，了解时轮宫的警示与当前局势。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp2002,20,,,,,,,1,1,next_var1=51,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_51,510,var[1] == 51,A,寻找呼延崇，取得千佛洞密室和刻盘碎片的线索。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp1206,20,,,,,,,1,1,next_var1=52,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_52,520,var[1] == 52,A,取得第四片刻盘碎片，并返回天动仪区域继续调查。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp1009b,23,,,,,,,1,1,next_var1=53,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_53,530,var[1] == 53,A,启动天动仪区域机关，进入天枢仪座。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp1016a,20,,,,,,,1,1,next_var1=54,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_54,540,var[1] == 54,A,深入天枢仪座并击败肓瘫。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp1101,122,,,,,,,1,1,next_var1=55,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_55,550,var[1] == 55,A,与中原各派会合，继续追查“蚀”与幻城的关系。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp1101,83,,,,,,,1,1,next_var1=56,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_56,560,var[1] == 56,A,向察斯葛打听幻城的消息。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp1502,26,,,,,,,1,1,next_var1=57,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_57,570,var[1] == 57,A,根据尼雅库迪老爹的线索前往古烽火台。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp3001,31,,,,,,,1,1,next_var1=58,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_58,580,var[1] == 58,A,调查古烽火台，确认幻城位置与幻障的存在。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp1901,15,,,,,,,1,1,next_var1=59,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_59,590,var[1] == 59,A,进入古烽火台内部，寻找破除幻障的方法。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp1905,22,,,,,,,1,1,next_var1=60,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_60,600,var[1] == 60,A,使用诸幻神镜破除幻障，继续追查楼兰七曜机关。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp1005b,24,,,,,,,1,1,next_var1=61,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_61,610,var[1] == 61,A,解开楼兰七曜圆珠机关，并准备修复星晷刻盘。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp0704,17,,,,,,,1,1,next_var1=62,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_62,620,var[1] == 62,A,把星晷刻盘交给谭铁匠修复。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp0701,29,,,,,,,1,1,next_var1=63,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_63,630,var[1] == 63,A,处理甘州的夜间与人物关系事件，等待刻盘修复完成。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp0705,15,,,,,,,1,1,next_var1=64,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_64,640,var[1] == 64,A,取回修复后的星晷刻盘，重返天动仪核心。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp1009a,18,,,,,,,1,1,next_var1=65,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_65,650,var[1] == 65,A,回到天动仪核心，应对汉军入城造成的新局势。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp1013,12,,,,,,,1,1,next_var1=66,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_66,660,var[1] == 66,A,继续推进天枢仪座与汉军相关剧情。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp1013,12,,,,,,,1,1,next_var1=67,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_67,670,var[1] == 67,A,确认幽界即将降临后，回甘州与葛云衣制定最终计划。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp3001,21,,,,,,,1,1,next_var1=68,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_68,680,var[1] == 68,A,与葛云衣完成最终计划，返回楼兰阻止四派。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp1003a,12,,,,,,,1,1,next_var1=69,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_69,690,var[1] == 69,A,进入楼兰城，追上已经进入城内的四派。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp1005a,15,,,,,,,1,1,next_var1=70,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_70,700,var[1] == 70,A,前往华穹殿阻止四派，并处理同伴的重大剧情分支。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp1007c,20,,,,,,,1,1,next_var1=71,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_71,710,var[1] == 71,A,完成楼兰城末段剧情，准备通过荒茫厉界登上幽神城砦。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp1014a,14,,,,,,,1,1,next_var1=72,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_72,720,var[1] == 72,A,按计划准备镇曜大法，等待逆转仪式的机会。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp1014a,14,,,,,,,1,1,next_var1=73,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_73,730,var[1] == 73,A,逆转镇曜大法并开启“蚀”的通道。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp1007c,20,,,,,,,1,1,next_var1=74,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_74,740,var[1] == 74,A,完成降曜之仪后的终局流程，前往最终区域。,main_objective,1,0,terminal,ROUTE_OR_EVENT,,,,,,,,,1,1,terminal_persistent_stage,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
