根目录,主题,固化节点或阶段,资料类型,相对路径,字节数,SHA-256,人类用途
数据,04_场景实体界面与存档,固化24,机器结果,数据/04_场景实体界面与存档/固化24/机器结果/SCI背景模式_RPG静态回归_固化24_继承复核.json,3917,d4c50fa359147cfcdc9a9098dfdfb1a1bb4b232aa2c5e1371573ab09825319ca,机器可读结论与断言
数据,04_场景实体界面与存档,固化25,机器结果,数据/04_场景实体界面与存档/固化25/机器结果/Map后半三未知块直接访问审计_固化25.json,105232,21637b0c092b7f6e00e3ac62496809d26135bcb409ba4ec7b9c72edc0f6f7f70,机器可读结论与断言
数据,04_场景实体界面与存档,基础阶段,机器结果,数据/04_场景实体界面与存档/基础阶段/机器结果/CanonicalGameState结构_v0.7C.json,2534,dfe488d0e6631b4914d5547580673eb2dc894a9ef3bcf7f3fe8b0243c13dfa2f,机器可读结论与断言
数据,04_场景实体界面与存档,基础阶段,机器结果,数据/04_场景实体界面与存档/基础阶段/机器结果/SCI地图字段规格_v0.7B.json,7295,72f3d4edeb1a517ef49aa27a9756da85acd156f2fca6008c8ccea1f6f24e7f70,机器可读结论与断言
数据,04_场景实体界面与存档,基础阶段,机器结果,数据/04_场景实体界面与存档/基础阶段/机器结果/SCI实体字段规格_v0.7B.json,8007,3190208d2732945289c113f7c4b686ee155e82c6f619340966f552c94b093b7e,机器可读结论与断言
数据,04_场景实体界面与存档,基础阶段,机器结果,数据/04_场景实体界面与存档/基础阶段/机器结果/SCI未知70字节样本_v0.7B.json,1108,b843559f0199b23a115a7ad97d818f18009f9ab87e340f5d3c0f09d05cebf11d,机器可读结论与断言
数据,04_场景实体界面与存档,基础阶段,机器结果,数据/04_场景实体界面与存档/基础阶段/机器结果/SCI样本批量解析_v0.7B.json,81839,6cb10180b812371791e8c440d5f9bd2f5491c9d65672cf130e329e735effc752,机器可读结论与断言
数据,04_场景实体界面与存档,基础阶段,机器结果,数据/04_场景实体界面与存档/基础阶段/机器结果/TSF单档解析示例_Save050_v0.7C.json,13632,86c7e0c9312685b0d2a1fe28b2a4d17787ad5bcddef16322a07de82bcb577dba,机器可读结论与断言
数据,04_场景实体界面与存档,基础阶段,机器结果,数据/04_场景实体界面与存档/基础阶段/机器结果/TSF字段映射_v0.7C.json,5546,6143c40609b990fc7b492f4b809b514f5a33f84808c63e259efcdb18fcdb6271,机器可读结论与断言
数据,04_场景实体界面与存档,基础阶段,机器结果,数据/04_场景实体界面与存档/基础阶段/机器结果/TSF流程存档159档批量分析_v0.7C.json,516655,0d3738327b3fa268462b714bececf87ec0dd5fb0ada281705ad4a995eb0eaac6,机器可读结论与断言
数据,04_场景实体界面与存档,基础阶段,机器结果,数据/04_场景实体界面与存档/基础阶段/机器结果/TSF流程档游戏变量相邻差分_v0.7C.json,129640,642e25b82ada22a6808ac251cb03bc4749cb445b5c2a3cd7027feb576e6fef12,机器可读结论与断言
数据,05_资源容器与配置,固化23修正版2,机器结果,数据/05_资源容器与配置/固化23修正版2/机器结果/系统资源容器内嵌场景配置索引_固化23修正版2.json,2582,9a83afff9e15abc168fff4db18c18a02748c94b3f7be7678defac9cc258c43cd,机器可读结论与断言
数据,05_资源容器与配置,固化23修正版2,机器结果,数据/05_资源容器与配置/固化23修正版2/机器结果/系统资源容器实体样本统计_固化23修正版2.json,50326,7c9c061faf480551b018ca4dc58af55a656d4e41f5e664b4090b932058096171,机器可读结论与断言
数据,05_资源容器与配置,固化23修正版2,机器结果,数据/05_资源容器与配置/固化23修正版2/机器结果/音乐列表场景配置静态闭合_固化23修正版2.json,25961,253f0a8ed7a803133d72ef3816b1c8c56293f353dbbed6fe383cb898dd1bb063,机器可读结论与断言
数据,05_资源容器与配置,固化23修正版2,机器结果,数据/05_资源容器与配置/固化23修正版2/机器结果/音乐列表首字节直接消费者审计_固化23修正版2.json,2639,490fc7b0f4851546a1ec85e5404a60ccb1f254385f2814223d76a792c8a9042a,机器可读结论与断言
数据,05_资源容器与配置,固化24,机器结果,数据/05_资源容器与配置/固化24/机器结果/资源容器九样本全量结构验证_固化24.json,199475,a7cb7a3c7f415ba328ca2024d7d573c6a413127e327cde6fbca3dd67210cc8b3,机器可读结论与断言
数据,05_资源容器与配置,固化24,机器结果,数据/05_资源容器与配置/固化24/机器结果/资源容器九样本提取回归_固化24.json,1539,4436c7ad20735d71401dcc1d7e844fca01c62871f9cfcc4d86dbda00386a28b9,机器可读结论与断言
数据,05_资源容器与配置,固化24,机器结果,数据/05_资源容器与配置/固化24/机器结果/资源容器加载协议_RPG静态回归_固化24.json,8894,7bae18235684f3481fcfba7cd44b28d9db6bcb832f4265bf583f2c4d1994d9a0,机器可读结论与断言
数据,05_资源容器与配置,固化26,机器结果,数据/05_资源容器与配置/固化26/机器结果/DAT容器全目录项与Map长度候选审计_固化26.json,1179,38bbfac0f82e8973d02d9bea145379354cbcb6b82a07f3667318301b4b0b5d44,机器可读结论与断言
数据,05_资源容器与配置,固化26,机器结果,数据/05_资源容器与配置/固化26/机器结果/资源容器九样本全量结构验证_固化26.json,200150,7a78acf19c2cfcbf371cb3f44ebf201efb767ee3363d92a5d6830ac12f6c271d,机器可读结论与断言
数据,05_资源容器与配置,固化26,机器结果,数据/05_资源容器与配置/固化26/机器结果/资源容器加载协议_RPG静态回归_固化26.json,8931,d4f77c90f9f5effa21561b7896d03b0f8c62339b98cc4f3fcd52344fcfcbb6df,机器可读结论与断言
数据,05_资源容器与配置,基础阶段,机器结果,数据/05_资源容器与配置/基础阶段/机器结果/当前样本验证结果.json,94866,5fca6c0716328ffc238401d7d85fe3aef93e63fee82921f8917914962e7e48cd,机器可读结论与断言
数据,06_图像动画与音频,固化22,机器结果,数据/06_图像动画与音频/固化22/机器结果/游戏SF2证据结构回归_固化22.json,7867,0fed17fd0dcdad13506d97b76d5e691e47216c12b90d458a74a4c3da5044bae9,机器可读结论与断言
数据,06_图像动画与音频,固化23,机器结果,数据/06_图像动画与音频/固化23/机器结果/游戏SF2证据结构回归_固化23_继承复核.json,8459,de4eb951c61777f67e30b9da72240226a763a5c73f039cd224045a89bd29321c,机器可读结论与断言
数据,06_图像动画与音频,固化24,机器结果,数据/06_图像动画与音频/固化24/机器结果/ITF000_SAF异格式样本边界_固化24.json,1605,fd9b810ee56bebdd09603b60b1cd18cc82421bd2efeadde8cf130a994b8f7421,机器可读结论与断言
数据,06_图像动画与音频,固化24,机器结果,数据/06_图像动画与音频/固化24/机器结果/SF2顶层与容器内全语料去重回归_固化24.json,193773,1b217247fa8d47a4e766d64411dce61dc934fe9b25a960c23ba3e996ab4c3a58,机器可读结论与断言
数据,06_图像动画与音频,固化27,机器结果,数据/06_图像动画与音频/固化27/机器结果/SAF压缩包装与标准SF2拒绝边界_固化27.json,2385,f9dd5998cabc3e442bce55ba6ea3ea174f41501798564de4aa6733e8d0c2af3c,机器可读结论与断言
数据,06_图像动画与音频,固化28,机器结果,数据/06_图像动画与音频/固化28/机器结果/ITF调用图与SAF不可达边界_固化28.json,7968,08c712f1bf21a5dee5f743bd7c819a0872897fc87877c23d6c9238bd68a45543,机器可读结论与断言
数据,06_图像动画与音频,固化29,机器结果,数据/06_图像动画与音频/固化29/机器结果/ITF编号资源对象链与双表路由_固化29.json,10014,bd1d2e8f1c9495f936f6a57217f51f7511f73d21aa4ee21a74f8e94c532c8722,机器可读结论与断言
数据,06_图像动画与音频,固化30,机器结果,数据/06_图像动画与音频/固化30/机器结果/ITF双表下游严格SF2构造链_固化30.json,11580,998a10935a1c6a621b59d2b4ee3101bf734adb8a56517f9ff4e11c7de7d91919,机器可读结论与断言
数据,06_图像动画与音频,固化31,机器结果,数据/06_图像动画与音频/固化31/机器结果/SF2属性槽磁盘取值域与效果消费链_固化31.json,44508,7838a9f21c56146ad5cf211d1202d2bf0485ea3a1f3fea4346dff919258838d1,机器可读结论与断言
数据,06_图像动画与音频,固化32,机器结果,数据/06_图像动画与音频/固化32/机器结果/SF2属性槽目标与自身锚点路由_固化32.json,3482,2e487cec3ab737302266b5a0f33857b1b4305d855610e5cddfa6a080164cde59,机器可读结论与断言
数据,06_图像动画与音频,固化33,机器结果,数据/06_图像动画与音频/固化33/机器结果/SF2剩余属性槽直接调用边界_固化33.json,4425,725ceef5a4bbe59774168c726729c906161654dfead14958da4da2fff026c9ed,机器可读结论与断言
数据,06_图像动画与音频,固化34,机器结果,数据/06_图像动画与音频/固化34/机器结果/SF2渲染模式分派_固化34.json,4872,dd97c0e70005b9256741097b2c827579bfca85b0558bf4b06282ac7c6cd1851b,机器可读结论与断言
数据,06_图像动画与音频,固化34,机器结果,数据/06_图像动画与音频/固化34/机器结果/SF2渲染模式参数全语料_固化34.json,3599,f4717a30a5ce4b091de18c3af380bd102a64e9b9959c4f908e28287c24f2be78,机器可读结论与断言
数据,06_图像动画与音频,固化34,表格明细,数据/06_图像动画与音频/固化34/表格明细/SF2渲染模式分派_固化34.csv,1378,41ad08dc11c85f6f3832babc9b3b1481dea4786717576d4ab15f7b716e144ffa,逐项筛选和人工核对
数据,06_图像动画与音频,固化35,机器结果,数据/06_图像动画与音频/固化35/机器结果/ITF动画格式身份统计_固化35.json,583,fd73fa96fa5e0d0e9fdafea6fc41197ee75ca6e5f3f83991c7ff404b07f60fc4,机器可读结论与断言
数据,06_图像动画与音频,固化35,机器结果,数据/06_图像动画与音频/固化35/机器结果/原始程序异格式动画静态边界验证.json,7024,63f03fd557fe7aebf75fb909f3969aa2b1a0f55a39971d980848ef660212a673,机器可读结论与断言
数据,06_图像动画与音频,固化35,机器结果,数据/06_图像动画与音频/固化35/机器结果/异格式动画结构解析与图集几何.json,39171,0ac755f0fa1dc1a7ae504ba3e21f7974564d4e6cedc342929bb50d2c21a4614e,机器可读结论与断言
数据,06_图像动画与音频,固化36,机器结果,数据/06_图像动画与音频/固化36/机器结果/SAF与标准ITF几何及像素关系_固化36.json,794,bf5895b0c9b391109091398a06957a2742622b9fc74f33935e5a68f63c0a0c07,机器可读结论与断言
数据,06_图像动画与音频,固化36,机器结果,数据/06_图像动画与音频/固化36/机器结果/SAF运行时直接调用面静态回归_固化36.json,8395,b46a36a8c22d9a26480682c3b9421b2cbb0c06b9cf17a32d27b22816b4ada86c,机器可读结论与断言
数据,06_图像动画与音频,固化36,机器结果,数据/06_图像动画与音频/固化36/机器结果/SAF运行时请求面与资源语料综合回归_固化36.json,10609,4e0db7788025573dd35b6f477a6d207af315f6345c5ed31ce4bb877e39e210f6,机器可读结论与断言
数据,06_图像动画与音频,固化36,机器结果,数据/06_图像动画与音频/固化36/机器结果/全资源正文ITF000引用穷举_固化36.json,472,0cb6b884b9101005aef9984453b0baab0da057c9b0d58909f4135088c6de0530,机器可读结论与断言
数据,06_图像动画与音频,固化37,机器结果,数据/06_图像动画与音频/固化37/机器结果/SF2嵌入PCM全语料统计_固化37.json,885655,822f560ad7e87d44a3ad558a5d36b02901c0f8f91048251de3c829a81a0c5a96,机器可读结论与断言
数据,06_图像动画与音频,固化37,机器结果,数据/06_图像动画与音频/固化37/机器结果/SF2嵌入PCM语义摘要_固化37.json,5667,e7fcb9d79d143ee7be233148eb3e690b4d2cf5c7d8adfe5f1c72cc22dd19368b,机器可读结论与断言
数据,06_图像动画与音频,固化39,机器结果,数据/06_图像动画与音频/固化39/机器结果/SF2图层32位元数据综合回归_固化39.json,65744,2bc1d8ac0440d896174994d19e3e61ed0dd3bc09c3df485ea0d78d021da16b4f,机器可读结论与断言
数据,06_图像动画与音频,固化39,机器结果,数据/06_图像动画与音频/固化39/机器结果/固化39节点状态与结论摘要.json,938,b2718af1352781d99514ab6ccbebe3fff251b13976ad161dfe16ca076747c2d8,机器可读结论与断言
数据,06_图像动画与音频,固化39,表格明细,数据/06_图像动画与音频/固化39/表格明细/SF2图层32位元数据值域_固化39.csv,210,c1d9e58ff14248102c8182f827305b6b2374d0902f33c8d889ab1409dcaf9c57,逐项筛选和人工核对
数据,06_图像动画与音频,基础阶段,机器结果,数据/06_图像动画与音频/基础阶段/机器结果/SCI到SF2动作绑定验证_v0.7B.json,11267,3115d86b481cc44801bf4cf0a426d5660d0dfbd0957327f750abbec71d3815d5,机器可读结论与断言
数据,06_图像动画与音频,基础阶段,机器结果,数据/06_图像动画与音频/基础阶段/机器结果/SF2动作上层字段_v0.6.json,1712,25d05ba00480bcc194b9b313e2fb3bcfb31ac886f88b1c3979f9c9779be96dec,机器可读结论与断言
数据,06_图像动画与音频,基础阶段,机器结果,数据/06_图像动画与音频/基础阶段/机器结果/SF2压缩样本解析结果.json,3912,b5c810c503b2d5b4daaf9ea5316f28201a64a23eea81963f5e1f2b3f67aaf4c9,机器可读结论与断言
数据,06_图像动画与音频,基础阶段,机器结果,数据/06_图像动画与音频/基础阶段/机器结果/SF2属性槽调用点_v0.7B.json,2541,af76e175c50b94a19846947f7b59bc6626895eebfd3ac2dac36bf83c939ce4ba,机器可读结论与断言
数据,06_图像动画与音频,基础阶段,机器结果,数据/06_图像动画与音频/基础阶段/机器结果/SF2当前资源根复测结果_v0.7A.json,3153,24ffe7899ef652d219df10ebe78d5fa789cd0f52e13ff980949de58b07b47fb7,机器可读结论与断言
数据,06_图像动画与音频,基础阶段,机器结果,数据/06_图像动画与音频/基础阶段/机器结果/SF2批量验证结果.json,68492,610d5b8a0b10226619cc73b1be98315edfc7c54bb171bc515f9c66ce893ea602,机器可读结论与断言
数据,06_图像动画与音频,基础阶段,机器结果,数据/06_图像动画与音频/基础阶段/机器结果/SF2渲染模式分派_v0.7B.json,4861,f80ba109372def31995e6ff1f568878820e72a2563af251a350480e92392e400,机器可读结论与断言
数据,06_图像动画与音频,基础阶段,机器结果,数据/06_图像动画与音频/基础阶段/机器结果/SF2渲染模式语义词典.json,8470,c8cf19473e2f1dc95d6124cb1afe30744be4b87816b83d338e5e80ea72bcd0dc,机器可读结论与断言
数据,06_图像动画与音频,基础阶段,表格明细,数据/06_图像动画与音频/基础阶段/表格明细/SF2属性槽调用点_v0.7B.csv,932,687ccecc1cd4e6be97954e4f0518aff11625bfe108f589268ea92f895b523755,逐项筛选和人工核对
数据,06_图像动画与音频,基础阶段,表格明细,数据/06_图像动画与音频/基础阶段/表格明细/SF2渲染模式分派_v0.7B.csv,1377,002a2d8e205887cabc99d03c2ffa75f5ac40a31e9b81c15d39d3a61401e85598,逐项筛选和人工核对
数据,06_图像动画与音频,基础阶段,表格明细,数据/06_图像动画与音频/基础阶段/表格明细/SF2渲染模式语义词典.csv,3918,21ab4c7f0a5a729c19cf0a09144d9e819fd42b7723d6f47e3ca1e28b07dd4d1e,逐项筛选和人工核对
数据,07_战斗核心对象与随机数,固化21,机器结果,数据/07_战斗核心对象与随机数/固化21/机器结果/FIRTTECH特殊召唤名称交叉证据_固化21.json,649,8fdc7aca33cbef0d00f7c3a86e09441515bb02e3a58cbed617c7651a616a6294,机器可读结论与断言
数据,07_战斗核心对象与随机数,固化21,机器结果,数据/07_战斗核心对象与随机数/固化21/机器结果/事件与战斗指令_RPG静态回归_固化21.json,17707,d206fee3057a4604ec0494a027cdcb8dd5ac139325da25d25d4dcbb94897ed7f,机器可读结论与断言
数据,07_战斗核心对象与随机数,固化21,机器结果,数据/07_战斗核心对象与随机数/固化21/机器结果/场景调查器_RPG地图与天書门控静态回归_固化21.json,19772,a428759cbde04dd24416ab64546a09ce0e8ecf2ad944097f643fedd7c835d773,机器可读结论与断言
数据,07_战斗核心对象与随机数,固化21,机器结果,数据/07_战斗核心对象与随机数/固化21/机器结果/战斗D7伏龙A特殊结束数据回归_固化21_继承复核.json,5416,91c32f76a60e3432ea0c40a81be09cdb7e78f9f254e5410ed2a54070c41fa3e3,机器可读结论与断言
数据,07_战斗核心对象与随机数,固化21,机器结果,数据/07_战斗核心对象与随机数/固化21/机器结果/战斗D7胜负奖励数据回归_固化21_继承复核.json,173027,2739b561c7a45253fe3022f55a54496554a660d4a1e05e22341d7edcc92f043f,机器可读结论与断言
数据,07_战斗核心对象与随机数,固化21,机器结果,数据/07_战斗核心对象与随机数/固化21/机器结果/战斗D8剩余随机调用分类_固化21.json,23223,6aa3ce542a58a7da8202126290843120df3d6505b5e059aa1e617066a985d804,机器可读结论与断言
数据,07_战斗核心对象与随机数,固化21,机器结果,数据/07_战斗核心对象与随机数/固化21/机器结果/战斗调查器_RPG静态证据回归_固化21.json,110652,d102c155522007bf87a82bc0914701508534b6602a4e09c5fb2616409c4f443e,机器可读结论与断言
数据,07_战斗核心对象与随机数,固化21,机器结果,数据/07_战斗核心对象与随机数/固化21/机器结果/战斗调查器_当前证据快照回归_固化21.json,6089,e7b39d311a33c3b9f9ee6ec78cd3a052d85e7da4fc4c76e36d45dfb9bf6e944f,机器可读结论与断言
数据,07_战斗核心对象与随机数,固化21,机器结果,数据/07_战斗核心对象与随机数/固化21/机器结果/界面正常与天書禁用资源比较_固化21.json,28183,4625ecd74f83902b80c61dc0a807b785f63f1986c4aaaf7d962ef5a1b5ca76c1,机器可读结论与断言
数据,07_战斗核心对象与随机数,固化21,表格明细,数据/07_战斗核心对象与随机数/固化21/表格明细/D8剩余RNG直接调用分类_固化21.csv,1910,283a9fcd194f813b2361feb3fa9fa7cc85cbdb1a31edf446b447090950086582,逐项筛选和人工核对
数据,07_战斗核心对象与随机数,固化21,表格明细,数据/07_战斗核心对象与随机数/固化21/表格明细/已知Oracle地址索引_v0.7D阶段中固化21.csv,546,ca64d620b9e294d825d611f4e2d7d4e7139312dad8736dcf5f5eebb84d803466,逐项筛选和人工核对
数据,07_战斗核心对象与随机数,固化22,机器结果,数据/07_战斗核心对象与随机数/固化22/机器结果/战斗D8随机顺序与非Battle调用静态语义_固化22.json,26091,7f1218fa5a14515b1662fe013c45ba1763f943d1641e48c3340807f25816d576,机器可读结论与断言
数据,07_战斗核心对象与随机数,固化22,机器结果,数据/07_战斗核心对象与随机数/固化22/机器结果/战斗调查器_RPG静态证据回归_固化22.json,118517,cb9d12b744533d9e033da776a4fb7550b26dece5f8d4dac2ed15b83f9d0f4651,机器可读结论与断言
数据,07_战斗核心对象与随机数,固化22,机器结果,数据/07_战斗核心对象与随机数/固化22/机器结果/战斗调查器_当前证据快照回归_固化22.json,6028,3ca8f0cad9b1b066b1795932577cd1ed978490e06a2fc0ee3a4ae16afdcfafac,机器可读结论与断言
数据,07_战斗核心对象与随机数,固化42,表格明细,数据/07_战斗核心对象与随机数/固化42/表格明细/Ail2真实大效果ID记录与独立路径_固化42.csv,4457,af01f50e0c96c1627c39dd8d2111607b98f8ec64f8deb0eacda3e65dc1cabb90,逐项筛选和人工核对
数据,07_战斗核心对象与随机数,固化62,机器结果,数据/07_战斗核心对象与随机数/固化62/机器结果/战场脱逃成功阈值调查_固化62.json,80543,c6cf06bb38a602e186b35c4d252cc38e6efc401abaf7a99d572cb1ea877a8458,机器可读结论与断言
数据,07_战斗核心对象与随机数,固化62,表格明细,数据/07_战斗核心对象与随机数/固化62/表格明细/LayoutGR脱逃成功阈值全表_固化62.csv,28722,98444a5164874f63df81d989f990600b4f829e75f9261dd465cb5fab109845c1,逐项筛选和人工核对
数据,07_战斗核心对象与随机数,基础阶段,机器结果,数据/07_战斗核心对象与随机数/基础阶段/机器结果/直接调用引用_0x45155B_RNG播种.json,319,735e7ae94f716c42e36f421fafae0a85d3a050ba9f6fdbb7638eac5fbfa90b48,机器可读结论与断言
数据,07_战斗核心对象与随机数,基础阶段,机器结果,数据/07_战斗核心对象与随机数/基础阶段/机器结果/直接调用引用_0x451565_RNG取值.json,1292,f4cb2fad502e6cd666f135bb43a821b95672331976ad4af3217e178973db359a,机器可读结论与断言
数据,08_战斗公式资源与物品,固化51,机器结果,数据/08_战斗公式资源与物品/固化51/机器结果/固化51至固化37核心连续回归审计.json,1662,5ed6f1ee6de49f72ef7dc72df0d3b9593e28e20e31650954cc01d51750c0c1fd,机器可读结论与断言
数据,08_战斗公式资源与物品,固化51,机器结果,数据/08_战斗公式资源与物品/固化51/机器结果/战斗公式选择器与除零输入边界_固化51.json,35260,1d870bad13b1489b2b5bbed7ae29b100fa2d13307229960bcbf5a725b01bbf6a,机器可读结论与断言
数据,08_战斗公式资源与物品,固化51,表格明细,数据/08_战斗公式资源与物品/固化51/表格明细/战斗公式选择器二至六真实记录_固化51.csv,4326,ca9b66bde07070468c2f4744d8e83b0d3f769ad07bf5ae841934f5c6c5d7a18f,逐项筛选和人工核对
数据,08_战斗公式资源与物品,固化52,机器结果,数据/08_战斗公式资源与物品/固化52/机器结果/固化52至固化37核心连续回归审计.json,1918,28ebba392d7cd2777e11bb384fb49b6a23eb4e2b81cccd43dafcd15ec6c53089,机器可读结论与断言
数据,08_战斗公式资源与物品,固化52,机器结果,数据/08_战斗公式资源与物品/固化52/机器结果/战斗绝剑凶号主资源特例_固化52.json,9635,2ee1f2e4dc001d490a165522b72c9caab8e7a2fbf2ffa68fee9d39077fd4b5ac,机器可读结论与断言
数据,08_战斗公式资源与物品,固化52,表格明细,数据/08_战斗公式资源与物品/固化52/表格明细/绝剑凶号百分比代价_API基线_固化52.csv,6238,70348f965c4ac0f38943e87c6ade0c2259d1e5a151b73544914e5a696e330f81,逐项筛选和人工核对
数据,08_战斗公式资源与物品,固化53,机器结果,数据/08_战斗公式资源与物品/固化53/机器结果/Battle五项核心能力作者名称与公式派生量_固化53.json,20099,8fda7f0bdfcbfb92639b02bcce495e8184d36c384afe07ce39d0dd5f7e15a00f,机器可读结论与断言
数据,08_战斗公式资源与物品,固化53,机器结果,数据/08_战斗公式资源与物品/固化53/机器结果/固化53至固化37核心连续回归审计.json,2188,debbb96ebd7b06e99a885fcef62d6f9a5afe7239107b0b3ab6ba423cc042d750,机器可读结论与断言
数据,08_战斗公式资源与物品,固化53,表格明细,数据/08_战斗公式资源与物品/固化53/表格明细/Battle五项核心能力作者名称与公式派生量_固化53.csv,1999,de73dd2e3cda44cbd0552126c135b2b4a9358da9fa51a0ceb3cf0a714457106d,逐项筛选和人工核对
数据,08_战斗公式资源与物品,固化54,机器结果,数据/08_战斗公式资源与物品/固化54/机器结果/Battle物品威力与防禦侧修正字段调查.json,25776,890de037efa6b1f57dab9030eb265fb2b765cc9ce7e64a05b2a7d25e2d5952f1,机器可读结论与断言
数据,08_战斗公式资源与物品,固化54,机器结果,数据/08_战斗公式资源与物品/固化54/机器结果/固化54至固化37核心连续回归审计.json,1613,5b6c86019eeae8dfb40bbfe614fb671713f08a0edb3fd70ad24a288f97a1d31e,机器可读结论与断言
数据,08_战斗公式资源与物品,固化54,表格明细,数据/08_战斗公式资源与物品/固化54/表格明细/Battle物品威力与防禦侧修正全语料.csv,51840,347fde9207a8ae4536a52ecbeedf7caf649c4b094be26505747e900344457a74,逐项筛选和人工核对
数据,08_战斗公式资源与物品,基础阶段,机器结果,数据/08_战斗公式资源与物品/基础阶段/机器结果/直接调用引用_0x42C680.json,301,fbb7795bd6d266821e082f708f21a006f1f6f5b7e1b788bf8736225a433127f7,机器可读结论与断言
数据,08_战斗公式资源与物品,基础阶段,机器结果,数据/08_战斗公式资源与物品/基础阶段/机器结果/直接调用引用_ArticleAil2状态解除_0x421690.json,301,92153865bae48f158f29142edef8774c88fe5f4c58bf0979585842c21437c3c4,机器可读结论与断言
数据,08_战斗公式资源与物品,基础阶段,机器结果,数据/08_战斗公式资源与物品/基础阶段/机器结果/直接调用引用_永久能力物品范围菜单_0x437960.json,355,06998a2228abfec83fa00bf1e716bbb2f32e31940bdd2c506db63837d2a9e22e,机器可读结论与断言
数据,09_战斗状态效果与场域,固化40,机器结果,数据/09_战斗状态效果与场域/固化40/机器结果/Battle状态39槽计时量子_RPG与DDDES静态回归_固化40.json,5526,a403738bfe70300224962d1f4bdaa200acf4b5274a53b015d7d818c120e9aa17,机器可读结论与断言
数据,09_战斗状态效果与场域,固化40,机器结果,数据/09_战斗状态效果与场域/固化40/机器结果/固化40节点状态与结论摘要.json,1404,94bd02c909ba12678971ca2c647090bc809bb3b0e4e055db37742bc204425192,机器可读结论与断言
数据,09_战斗状态效果与场域,固化44,机器结果,数据/09_战斗状态效果与场域/固化44/机器结果/Battle三十九槽序列化零块_RPG静态回归_固化44.json,55720,83a59178fdc8852ec290d2db1a050bec4c56bea6f73f7c9b9bd821ef69dc38c9,机器可读结论与断言
数据,09_战斗状态效果与场域,固化44,表格明细,数据/09_战斗状态效果与场域/固化44/表格明细/API角色三十九槽零块分布_固化44.csv,2539,ebd5e794431b29c5bb821f2249a28e708d333d06de89c03f4fa781b20f741d26,逐项筛选和人工核对
数据,09_战斗状态效果与场域,固化45,机器结果,数据/09_战斗状态效果与场域/固化45/机器结果/战斗前二十八效果槽生命周期静态调查_固化45.json,10140,72bf6c227243a4aabf476b7c773538422355427d434749b6c060f270a91dbee4,机器可读结论与断言
数据,09_战斗状态效果与场域,固化45,表格明细,数据/09_战斗状态效果与场域/固化45/表格明细/战斗前二十八效果槽生命周期直接调用表_固化45.csv,843,be7911e4812ef205a0df40a3eba0203a518373dee672cecdf01935f9818d973f,逐项筛选和人工核对
数据,09_战斗状态效果与场域,固化46,机器结果,数据/09_战斗状态效果与场域/固化46/机器结果/Battle十四路状态表现与ITF0052路由调查.json,34328,162182a12a70dcf3627c7755625d714ce2f13e24e27ccf4dbef825c934ecbe60,机器可读结论与断言
数据,09_战斗状态效果与场域,固化46,机器结果,数据/09_战斗状态效果与场域/固化46/机器结果/ItfDir容器提取复核.json,28134,be67695a96ffbf1dab6363af16426c19beeee15775b37296e780857a3707e387,机器可读结论与断言
数据,09_战斗状态效果与场域,固化46,表格明细,数据/09_战斗状态效果与场域/固化46/表格明细/Battle十四路状态表现槽字段与selector映射.csv,1650,e4b1cd0cd0dbbf330046295b8cbe33bf4053a2f85deaa0a76a59af1dc07c2ef0,逐项筛选和人工核对
数据,09_战斗状态效果与场域,固化47,机器结果,数据/09_战斗状态效果与场域/固化47/机器结果/Battle七组互反抵消效果对调查.json,24645,5cbbd9c4cfa8645ebe2fc04ae582f7c6fba58a5682a91749ad465035c84778a4,机器可读结论与断言
数据,09_战斗状态效果与场域,固化47,机器结果,数据/09_战斗状态效果与场域/固化47/机器结果/固化46状态表现调查器语义纠正版回归.json,34881,b419e753f5dfacab263ed5303c7d5650ceeee1a9059f5308dac6962a674d7891,机器可读结论与断言
数据,09_战斗状态效果与场域,固化47,机器结果,数据/09_战斗状态效果与场域/固化47/机器结果/固化47至固化37核心连续回归审计.json,2195,04c974c638980325eb5c78dd3103e2ad6493b3eef12f255ea8dd55a16fba9ccc,机器可读结论与断言
数据,09_战斗状态效果与场域,固化47,表格明细,数据/09_战斗状态效果与场域/固化47/表格明细/Battle七组互反抵消效果对与表现路由.csv,783,bf1a5dede4fd199278c5bc2c864e49212c1bfc7039ffbe7b7f10bbbda041b39e,逐项筛选和人工核对
数据,09_战斗状态效果与场域,固化47,表格明细,数据/09_战斗状态效果与场域/固化47/表格明细/对向槽二十八项原始表.csv,297,09667a67b1edb948ecbc2aa865d8308a654c6be045027fc8b3aa9bfa13eea0b5,逐项筛选和人工核对
数据,09_战斗状态效果与场域,固化48,机器结果,数据/09_战斗状态效果与场域/固化48/机器结果/Battle七个单分支状态表现槽调查.json,22876,337b35b800354efa8ad4d5794a34a3259b09b07421c348ce0bd3147a1479e52b,机器可读结论与断言
数据,09_战斗状态效果与场域,固化48,机器结果,数据/09_战斗状态效果与场域/固化48/机器结果/固化48至固化37核心连续回归审计.json,2598,40092296f0b77f3c4e973828c633bb69c83a2666b5c399e778929b298fea0490,机器可读结论与断言
数据,09_战斗状态效果与场域,固化48,表格明细,数据/09_战斗状态效果与场域/固化48/表格明细/Battle七个单分支状态表现槽语义映射.csv,1948,15b782a5cbf27a450d5f68b49a69c0aac4f75c7d9e9e2bf606c710956f19ea40,逐项筛选和人工核对
